event_id,timestamp,gateway_id,session_id,attack_id,transaction_id,source_ip,destination_port,protocol,amount,currency,payment_method,gateway_status,is_suspicious
PAY000845,2026-08-21 11:09:51,GW01,SES06600,BENIGN,TXN903949,10.184.121.139,443,TCPS,616.54,NAD,card,approved,0
PAY000593,2026-08-21 12:05:51,GW01,SES05057,BENIGN,TXN253138,10.76.129.249,443,TCPS,272.99,NAD,eft,approved,0
PAY001097,2026-08-21 12:06:49,GW01,SES02026,BENIGN,TXN861077,192.168.151.71,443,TCPS,733.56,NAD,eft,approved,0
PAY000198,2026-08-21 12:36:11,GW01,SES01431,BENIGN,TXN136222,192.168.249.190,443,TCPS,590.77,NAD,eft,approved,0
PAY000916,2026-08-21 13:32:03,GW01,SES07021,BENIGN,TXN525022,10.92.16.21,443,TCPS,429.26,NAD,card,approved,0
PAY000939,2026-08-21 14:23:34,GW01,SES09156,BENIGN,TXN453660,10.221.80.38,443,TCPS,674.55,NAD,eft,approved,0
PAY000535,2026-08-21 15:44:57,GW01,SES03490,BENIGN,TXN238605,10.137.190.165,443,TCPS,505.12,NAD,card,approved,0
PAY001003,2026-08-21 15:46:16,GW01,SES03407,BENIGN,TXN856940,192.168.55.2,443,TCPS,579.83,NAD,eft,approved,0
PAY000743,2026-08-21 16:38:12,GW01,SES01138,BENIGN,TXN681123,172.31.70.119,443,TCPS,750.76,NAD,eft,approved,0
PAY000285,2026-08-21 17:35:52,GW01,SES02985,BENIGN,TXN963407,192.168.247.13,443,TCPS,506.69,NAD,card,approved,0
PAY000407,2026-08-21 17:44:07,GW01,SES00844,BENIGN,TXN200896,192.168.48.236,443,TCPS,781.92,NAD,eft,approved,0
PAY000499,2026-08-21 18:10:04,GW01,SES01618,BENIGN,TXN830706,192.168.238.105,443,TCPS,669.12,NAD,card,approved,0
PAY000216,2026-08-21 18:16:57,GW01,SES02663,BENIGN,TXN689069,10.196.247.122,443,TCPS,49.55,NAD,eft,approved,0
PAY001062,2026-08-21 18:20:23,GW01,SES06847,BENIGN,TXN269713,10.144.91.159,443,TCPS,211.87,NAD,card,approved,0
